Dataset	Nodes in G	Edges in G		ECC_NEC				ECC_FR				
				Average Cliques Found	Min Cliques Found	Max Cliques Found	Runtime	Average Cliques Found	Min Cliques Found	Max Cliques Found	Runtime	
=REGEXEXTRACT("snap_datasets/ca-AstroPh.txt", "[^/]+$")	18772	198050		15182.5	15179	15186	177	15192	15190	15194	1284	
=REGEXEXTRACT("snap_datasets/ca-CondMat.txt", "[^/]+$")	23133	93439		16286	16286	16286	29	16291	16291	16291	83	
=REGEXEXTRACT("snap_datasets/ca-GrQc.txt", "[^/]+$")	5242	14484		3738	3738	3738	2	3739	3739	3739	23.5	
=REGEXEXTRACT("snap_datasets/ca-HepPh.txt", "[^/]+$")	12008	118489		10045	10045	10045	43.5	10053	10053	10053	10128	
=REGEXEXTRACT("snap_datasets/ca-HepTh.txt", "[^/]+$")	9877	25973		9197.5	9197	9198	7	9200	9200	9200	13	
=REGEXEXTRACT("snap_datasets/cit-HepPh.txt", "[^/]+$")	34546	420877		131516	131506	131526	2445	131545	131532	131558	1517	
=REGEXEXTRACT("snap_datasets/cit-HepTh.txt", "[^/]+$")	27770	352285		93492.5	93489	93496	3417.5	93494.5	93494	93495	2040	
=REGEXEXTRACT("snap_datasets/email-Enron.txt", "[^/]+$")	36692	183831		43494.5	43480	43509	1146	43506	43494	43518	1144.5	
=REGEXEXTRACT("snap_datasets/email-EuAll.txt", "[^/]+$")	265214	364481		297733	297729	297737	1764.5	297730	297730	297730	1976	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella04.txt", "[^/]+$")	10876	39994		38491	38491	38491	8	38491	38491	38491	16	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella05.txt", "[^/]+$")	8846	31839		30523	30523	30523	6	30523	30523	30523	12	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella06.txt", "[^/]+$")	8717	31525		30322	30322	30322	7.5	30322	30322	30322	11.5	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella08.txt", "[^/]+$")	6301	20777		19001	19001	19001	7.5	19002	19002	19002	7	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella09.txt", "[^/]+$")	8114	26013		24118	24118	24118	9.5	24120	24120	24120	7.5	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella24.txt", "[^/]+$")	26518	65369		63725	63725	63725	18.5	63725	63725	63725	31	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella25.txt", "[^/]+$")	22687	54705		53367	53367	53367	14	53367	53367	53367	25	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella30.txt", "[^/]+$")	36682	88328		85821	85821	85821	24.5	85821	85821	85821	43.5	
=REGEXEXTRACT("snap_datasets/p2p-Gnutella31.txt", "[^/]+$")	62586	147892		144478	144478	144478	51	144478	144478	144478	92.5	
=REGEXEXTRACT("snap_datasets/soc-Slashdot0811.txt", "[^/]+$")	77360	469180		329876	329875	329877	1908	329904	329901	329906	1441.5	
=REGEXEXTRACT("snap_datasets/soc-Slashdot0902.txt", "[^/]+$")	82168	504230		352941	352932	352950	1850	352982	352980	352985	1599	
=REGEXEXTRACT("snap_datasets/wiki-Vote.txt", "[^/]+$")	7115	100762		37414.5	37394	37435	908.5	37430.5	37428	37433	1099.5	
